Acurácia no conjunto de teste: 99.98%

Previsões para todas as imagens de teste:
Imagem: 9 (2950).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3050).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3051).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3052).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3053).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3054).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3055).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3056).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3057).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3058).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3059).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (306).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.99%
Imagem: 9 (3060).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3061).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3062).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3063).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3064).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3065).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3066).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3067).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3068).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3069).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (307).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3070).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3071).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3072).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3073).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3074).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3075).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3076).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3077).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3078).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3079).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (308).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.97%
Imagem: 9 (3080).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3081).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3082).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3083).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3084).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3085).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3086).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3087).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3088).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3089).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (309).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.99%
Imagem: 9 (3090).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3091).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3092).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3093).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3094).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3095).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3096).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3097).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3098).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3099).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (31).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (310).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3100).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3101).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3102).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3103).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3104).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3105).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3106).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3107).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3108).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3109).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (311).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3110).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3111).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3112).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3113).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3114).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3115).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3116).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3117).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3118).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3119).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (312).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.99%
Imagem: 9 (3120).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3121).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3122).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3123).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3124).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3125).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3126).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3127).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3128).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3129).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (313).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3130).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3131).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3132).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3133).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3134).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3135).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3136).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3137).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3138).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3139).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (314).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.97%
Imagem: 9 (3140).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3141).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3142).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3143).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3144).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3145).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3146).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3147).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3148).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3149).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (315).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.99%
Imagem: 9 (3150).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3151).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3152).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3153).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3154).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3155).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3156).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3157).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3158).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3159).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (316).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3160).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3161).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3162).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3163).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3164).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3165).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3166).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3167).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3168).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.99%
Imagem: 9 (3169).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (317).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3170).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.97%
Imagem: 9 (3171).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.99%
Imagem: 9 (3172).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3173).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3174).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.99%
Imagem: 9 (3175).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3176).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.97%
Imagem: 9 (3177).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.99%
Imagem: 9 (3178).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3179).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (318).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.99%
Imagem: 9 (3180).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.99%
Imagem: 9 (3181).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3182).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.97%
Imagem: 9 (3183).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 99.99%
Imagem: 9 (3184).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 9 (3185).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
